label,inferred_smarts,llm_output
C=CC=N[N]1[R][C](=O)[N]([R])C1=O,C=CC=NN1*C(=O)N(*)C1=O,allylideneimino hydantoin
O=C([N]([R])[R])[N]([R])[N+](=O)[O-],O=C(N(*)*)N(*)[N&+](=O)[O&-],nitrourea
[R][S][Zn][S][R],*S[#30]S*,zinc sulfur bond
C=CC=[N+]([O-])[R],C=CC=[N&+]([O&-])*,conjugated n-oxide
O=C(O)N=NC(=O)O,O=C(O)N=NC(=O)O,azodicarboxylates
O=C(O)C(=O)C(=O)O,O=C(O)C(=O)C(=O)O,oxomalonic acid
C=C[P](=O)(O)[R],C=CP(=O)(O)*,vinylphosphonates and similar
C#[C][Pt][C]#C,C#C[#78]C#C,bis acetylene platinum
[Cl][Pt][R],Cl[#78]*,chloroplatinum
[Cl][Pt][Cl],Cl[#78]Cl,dichloroplatinum
[I][Pt][I],I[#78]I,diiodoplatinum
*[Si]([R])([R])[Rh]([Cl])([S+]([R])[R])([S+]([R])[R])[Si]([R])([R])[R],*[#14](*)(*)[#45](Cl)([S&+](*)*)([S&+](*)*)[#14](*)(*)*,disulfonium disilyl rhodium chloride
[Cl][Rh]([R])([S+]([R])[R])([Si]([R])([R])[R])[P+]([R])([R])[R],Cl[#45](*)([S&+](*)*)([#14](*)(*)*)[P&+](*)(*)*,chloro rhodium sulfonium phosphonium
C=NN=c1cccc[n]1[R],C=NN=c1ccccn1*,diazenyl pyridinium
OC[N]([R])C(=[N][R])[S][R],OCN(*)C(=N*)S*,carbamimidothioate
O=C(C=CBr)[O][R],O=C(C=CBr)O*,3-bromoacrylate
C=C(Br)C=N[N]([R])[R],C=C(Br)C=NN(*)*,bromo substituted vinyl hydrazone
C=CC=C[S][R],C=CC=CS*,dienyl sulfanyl
C=C(Br)[C](=O)[R],C=C(Br)C(=O)*,bromo acryl carbonyl
[R][Se][Se][R],*[#34][#34]*,diselenide bond
Cl[Se](Cl)([R])[R],Cl[#34](Cl)(*)*,dichloroselenium
O=C(C=N[N]([R])[S](=O)(=O)[R])[N]([R])[R],O=C(C=NN(*)S(=O)(=O)*)N(*)*,sulfonyl hydrazinylidene amide
C=C([O][R])[N]([R])[R],C=C(O*)N(*)*,amino enol ether
O=[N+]([O-])C[N+](=O)[O-],O=[N&+]([O&-])C[N&+](=O)[O&-],"1,1-dinitro"
[R][O]Br,*OBr,hypobromite
II,II,diiodine
[R][Si]([R])([R])C#CBr,*[#14](*)(*)C#CBr,bromoethynyl-substituted silanes
C#CC#CC(=O)O,C#CC#CC(=O)O,diynoic acid
C#CC#C[Si]([R])([R])[R],C#CC#C[#14](*)(*)*,butadiynyl silane
O=C(N=NC(=O)[O][R])[O][R],O=C(N=NC(=O)O*)O*,azodicarboxylate
O=C([O][Na])C(=CC=CC(=O)[N]([R])[R])N(C[S][R])[C](=O)[R],O=C(O[#11])C(=CC=CC(=O)N(*)*)N(CS*)C(=O)*,cephalosporin sodium salt
C=CC=CC=CC=N[O][R],C=CC=CC=CC=NO*,amide
N#CC=C(O)C1CO1,N#CC=C(O)C1CO1,cyano enol epoxide
O=[C]([R])C=C1OCOC1[O][R],O=C(*)C=C1OCOC1O*,dioxolyl enone
C=CC(O)(C=C)[O][R],C=CC(O)(C=C)O*,divinyl acetal
O=[C]([R])N(COC=[N][R])[C](=O)[R],O=C(*)N(COC=N*)C(=O)*,oxadiazole substituted imide
O=[C]([R])OCOC(=O)C(=C[S][R])[N]([R])[C](=O)[R],O=C(*)OCOC(=O)C(=CS*)N(*)C(=O)*,carbonate thioenol amide
O=P([O][Na])([O][Na])C1CO1,O=P(O[#11])(O[#11])C1CO1,disodium epoxide phosphonate
C=CC=CC=CC=CC=CC=CC=C,C=CC=CC=CC=CC=CC=CC=C,polyene
O=C(c1nc(=N[S](=O)(=O)[R])[n]([R])[n]1[R])[N]([R])[R],O=C(c1nc(=NS(=O)(=O)*)n(*)n1*)N(*)*,triazole sulfonylimine carboxamide
[R][O]OCOCOC[N]([R])[R],*OOCOCOCN(*)*,peroxy diether amine
O=[C]([R])[N]([R])S(=O)(=O)O,O=C(*)N(*)S(=O)(=O)O,acyl sulfamate
O=C(C=C[S](=O)(=O)[R])[N]([R])[R],O=C(C=CS(=O)(=O)*)N(*)*,aromatic sulfonamide
O=C=O,O=C=O,carbon dioxide
[R][Cr]([R])[R],*[#24](*)*,chromium complex
O=[C]([R])[N]([R])[N+]([R])([R])[R],O=C(*)N(*)[N&+](*)(*)*,carboxamide quaternary ammonium
[R][N]([R])[N+]([R])([R])[R],*N(*)[N&+](*)(*)*,hydrazinium ion
[R][N+]1=C[N+]([R])(I)C=C1,*[N&+]1=C[N&+](*)(I)C=C1,n-iodo imidazolium
C=CC=CC=C[NH][R],C=CC=CC=C[N&H1]*,polyenylamine
[R][S]C([S][R])[Si]([R])([R])[R],*SC(S*)[#14](*)(*)*,silyl dithioether
C=NOCON=C,C=NOCON=C,bis-imino formal
N#CN=C[N]([R])[R],N#CN=CN(*)*,cyanoamidine
C=NN1C[N]([R])[R][C]1=O,C=NN1CN(*)*C1=O,pyrazole fused oxadiazolone
O=CC=CC=C[N]([R])[R],O=CC=CC=CN(*)*,conjugated carbonyl amine
O=C[N]([R])C=CSSC=C[N]([R])C=O,O=CN(*)C=CSSC=CN(*)C=O,enamide disulfide
C=CC#CC#CC=C,C=CC#CC#CC=C,diene diyne
C=CC(=C)[N]([R])[C](=O)[R],C=CC(=C)N(*)C(=O)*,carbamoyl diene
O=C1C=CC([CH]=[Car])=N1,O=C1C=CC([C&H1]=c)=N1,pyrrolizinone with vinyl substituent
C#CC1CO1,C#CC1CO1,ethynyl oxirane
C=C[N]([R])O[C](=O)[R],C=CN(*)OC(=O)*,vinyl carbamate ester
C=C(OP(=O)(O)O)C(=O)O,C=C(OP(=O)(O)O)C(=O)O,phosphonooxy acrylate
C=CC(=COCOC[O][R])C(=O)[O][R],C=CC(=COCOCO*)C(=O)O*,biaryl bond
O=C(C=COCOC[O][R])[N]([R])[R],O=C(C=COCOCO*)N(*)*,trioxa vinyl ether amide
O=C(C=CO)[S][R],O=C(C=CO)S*,3 oxygenated thiophenone
C=C=CN([C](=O)[R])[C](=O)[R],C=C=CN(C(=O)*)C(=O)*,allene diamide
O=[C]([R])O[N]([R])N=[N][R],O=C(*)ON(*)N=N*,triazene ester
C=C(C=[CH][Nar])[N]([R])[R],C=C(C=[C&H1]n)N(*)*,heteroaryl vinyl enamine
C=CC1=CC(=CC(=O)[N]([R])[R])[N]([R])C1=O,C=CC1=CC(=CC(=O)N(*)*)N(*)C1=O,vinyl pyrrolylidene acetamide
C=CC1=CC(=O)[N]([R])C1=CC(C=C)=[N][R],C=CC1=CC(=O)N(*)C1=CC(C=C)=N*,hetarylidene isoindolinone
C=CC1=CC(=O)[N]([R])C1=CC(=O)[N]([R])[R],C=CC1=CC(=O)N(*)C1=CC(=O)N(*)*,vinyl dihydropyridinedione
C=CC1=CC2=NC1=CC1=NC(=CC3=CC(=CO)C(=N3)C=C[N]([R])C=C2)C=C1,C=CC1=CC2=NC1=CC1=NC(=CC3=CC(=CO)C(=N3)C=CN(*)C=C2)C=C1,porphyrin vinyl aldehyde
[O-]C([O-])=C1C=C(C=C2C=CC([CH]=[Car])=N2)N=C1C=CN=C[CH]=[Car],[O&-]C([O&-])=C1C=C(C=C2C=CC([C&H1]=c)=N2)N=C1C=CN=C[C&H1]=c,carboxylate enamine diazine
O=C1C=CC(=C([O][R])[N]([R])[R])C=C1F,O=C1C=CC(=C(O*)N(*)*)C=C1F,noname
O=[C]([R])C(C=N[O][R])=C[N]([R])[R],O=C(*)C(C=NO*)=CN(*)*,oximino enaminone
O=[S]([R])[S][R],O=S(*)S*,sulfinyl sulfide
O=C1C=C(Cl)C(=O)C(Cl)=C1,O=C1C=C(Cl)C(=O)C(Cl)=C1,chlorinated para quinone
N#CC(C#N)=C(C(F)=CF)C(F)=CF,N#CC(C#N)=C(C(F)=CF)C(F)=CF,bis(difluorovinyl) dicyanoethene
O=C([O][R])[N]([R])C=C[O][R],O=C(O*)N(*)C=CO*,n enol ether carbamate
O=C1C=CC([S][R])([S](=O)[R])O1,O=C1C=CC(S*)(S(=O)*)O1,3-sulfenyl sulfonyl benzofuranone
O=C1C2SSC(C(=O)[N]2[R])[N]1[R],O=C1C2SSC(C(=O)N2*)N1*,bicyclic disulfide diamide
O=C(C=N[P](=O)([R])[R])[O][R],O=C(C=NP(=O)(*)*)O*,phosphorylimino carboxylate
O=[C]([R])OC([O][R])C(=O)[O][R],O=C(*)OC(O*)C(=O)O*,alpha acyloxy carboxylic acid
O=C([O][R])C1=C[N]([R])[R][C]1=O,O=C(O*)C1=CN(*)*C1=O,azolone-4-carboxylic acid
O=[C]([R])[O][Eu]([O][C](=O)[R])[O][C](=O)[R],O=C(*)O[#63](OC(=O)*)OC(=O)*,europium triester
O=[C]([R])[O][Gd]([O][C](=O)[R])[O][C](=O)[R],O=C(*)O[#64](OC(=O)*)OC(=O)*,gadolinium tris carboxylate
O=[C]([R])O[B]([R])O[C](=O)[R],O=C(*)OB(*)OC(=O)*,boron diacyloxy ester
O=[S](=O)([R])[N]([R])Br,O=S(=O)(*)N(*)Br,n bromo sulfonamide
C=[N+]([R])[B-](F)(F)[O][R],C=[N&+](*)[B&-](F)(F)O*,difluoro oxa azonia boranuid
O=[C]([R])OCOC(=O)[N]([R])[R],O=C(*)OCOC(=O)N(*)*,geminal carbamate ester
C=N[N]([R])[S](=O)[R],C=NN(*)S(=O)*,sulfonylamino hydrazone
O=C1OC[N]([R])C1[S][R],O=C1OCN(*)C1S*,4-thio oxazolidinone
[Cl][Au][S+]([R])[R],Cl[#79][S&+](*)*,chlorogold sulfonium
O=[C]([R])C(=C[N]([R])C(=O)[O][R])C(=O)[O][R],O=C(*)C(=CN(*)C(=O)O*)C(=O)O*,carbamoylmethylene malonate
[R][N]([R])N=NC1=NCOC=C1,*N(*)N=NC1=NCOC=C1,diazenyl isoxazole
[R][N]=C(N=C([N]([R])[R])[N]([R])[R])[N]([R])[R],*N=C(N=C(N(*)*)N(*)*)N(*)*,biguanide
O=C1C=CC([O][R])([O][R])C=C1,O=C1C=CC(O*)(O*)C=C1,"4,4 dioxygenated cyclohexadienone"
C1=CC=CC=CC=C1,C1=CC=CC=CC=C1,cyclooctatetraene
[R][N]=c1nccc[n]1[R],*N=c1ncccn1*,pyrimidine imino group
O=C1C([S][R])[N]([R])C(=O)C([S][R])[N]1[R],O=C1C(S*)N(*)C(=O)C(S*)N1*,bis thio diketopiperazine
C=CC(=O)C([S][R])[S][R],C=CC(=O)C(S*)S*,gem-dithio enone
[R][N]=C([S][R])[N]([R])C(=[N][R])[S][R],*N=C(S*)N(*)C(=N*)S*,bis isothiourea amine
C=CC(O)[O][R],C=CC(O)O*,vinyl hemiacetal
O=C(C=NO)[O][R],O=C(C=NO)O*,hydroxyimino carboxylate ester
O=[C]([R])C=C[S][R],O=C(*)C=CS*,carbonyl vinyl sulfide
O=CC=C[N]([R])C(=O)[O][R],O=CC=CN(*)C(=O)O*,trimethylene glycol
O=C(Cl)[C](=O)[R],O=C(Cl)C(=O)*,2 oxo acid chloride
O=C(C=C[S](=O)[R])[N]([R])[R],O=C(C=CS(=O)*)N(*)*,beta sulfinyl acrylamide
O[B]([R])[B]([R])[R],OB(*)B(*)*,boryl borane
C#CC=O,C#CC=O,michael acceptor sp1
O=C(C#C[N]([R])[S](=O)(=O)[R])[O][R],O=C(C#CN(*)S(=O)(=O)*)O*,sulfonamido propynoate
O=[N+](O)[R],O=[N&+](O)*,nitro group
[R][N+]([R])[R],*[N&+](*)*,tertiary ammonium
[Cl][Pd]([Cl])([N+]([R])([R])[R])[N+]([R])([R])[R],Cl[#46](Cl)([N&+](*)(*)*)[N&+](*)(*)*,dichloro diquaternary ammonium palladium
O=[N+]([O-])[O][Pd]([O][N+](=O)[O-])([N+]([R])([R])[R])[N+]([R])([R])[R],O=[N&+]([O&-])O[#46](O[N&+](=O)[O&-])([N&+](*)(*)*)[N&+](*)(*)*,palladium nitrito nitrato diammonium
[Nar+][Ru]([Nar+])([Nar+])([Nar+])([Nar+])[Nar+],[n&+][#44]([n&+])([n&+])([n&+])([n&+])[n&+],ruthenium charged nitrogen ligands
O=[C]([R])[N]([R])C=[N+]([R])[R],O=C(*)N(*)C=[N&+](*)*,acyl guanidinium
C=C[O][Gd]([OH])([OH])([O][C](=O)[R])[O][C](=O)[R],C=CO[#64]([O&H1])([O&H1])(OC(=O)*)OC(=O)*,gadolinium enol complex
O=[C]([R])[O][Nar+],O=C(*)O[n&+],heteroaromatic onium ester
BrC=CBr,BrC=CBr,"1,2-dibromo alkene"
O=[C]1[R][N]([R])C(=O)[N]([R])[N]1[R],O=C1*N(*)C(=O)N(*)N1*,triazine diimide
[R][O]C(C([O][R])[N]([R])[R])[N]([R])[R],*OC(C(O*)N(*)*)N(*)*,"1,2-diamino-1,2-diol"
[R][N]([R])C[N]([R])C[N]([R])[R],*N(*)CN(*)CN(*)*,dimethylenetriamine
[R][N]1C=NN=C[N]1[R],*N1C=NN=CN1*,"1,2,4,5-tetrazine"
O=[C]([R])C(Br)=C(Br)[C](=O)[R],O=C(*)C(Br)=C(Br)C(=O)*,"2,3-dibromo 14 dicarbonyl"
C=C(C(=O)[O][R])C(O)[N]([R])[R],C=C(C(=O)O*)C(O)N(*)*,beta hydroxy amino acrylate
O=C[N]([R])CS(=O)(=O)[S](=O)(=O)[R],O=CN(*)CS(=O)(=O)S(=O)(=O)*,disulfonylalkyl amide
F[B-](F)([R])[Nar+],F[B&-](F)(*)[n&+],heteroaromatic trifluoroborate
O=C(O)C(=O)[N]([R])[C](=O)[R],O=C(O)C(=O)N(*)C(=O)*,n acyl oxamic acid
[R][S]=[Car],*S=c,heteroaromatic ring sulfur
[R][O]P([O][R])[O][R],*OP(O*)O*,phosphate backbone
C=CC([N]([R])C=O)[S](=O)(=O)[R],C=CC(N(*)C=O)S(=O)(=O)*,beta-amino sulfone acceptor
O=C([O][R])[N]([R])C[S](=O)(=O)[R],O=C(O*)N(*)CS(=O)(=O)*,sulfonylalkyl carbamate
C=CO[S](=O)(=O)[R],C=COS(=O)(=O)*,aromatic sulfonate
O=[C]([R])O[I]([R])[R],O=C(*)OI(*)*,iodanyl carboxylate
*[P+]([R])([R])[Rh]([Cl])([R])([S+]([R])[R])([S+]([R])[R])[Si]([R])([R])[R],*[P&+](*)(*)[#45](Cl)(*)([S&+](*)*)([S&+](*)*)[#14](*)(*)*,rhodium phosphonium sulfonium complex
O=[C]([R])C=C([C](=O)[R])[C](=O)[R],O=C(*)C=C(C(=O)*)C(=O)*,"vinyl 1,1-dicarbonyl"
[Cl][Pt]([Cl])([N]([R])[R])[N]([R])[R],Cl[#78](Cl)(N(*)*)N(*)*,diamine dichloroplatinum
O=[N+]([O-])[O][Pt]([O][N+](=O)[O-])([N]([R])[R])[N]([R])[R],O=[N&+]([O&-])O[#78](O[N&+](=O)[O&-])(N(*)*)N(*)*,bis(nitrato)bis(amine)platinum
[R][N]=c1ccc(=[N][R])[n]([R])[n]1[R],*N=c1ccc(=N*)n(*)n1*,diimino pyridazine
[R][N]([R])CN(C[N]([R])[R])C[N]([R])[R],*N(*)CN(CN(*)*)CN(*)*,tris aminomethyl tertiary amine
O=C([O][R])C(C=C([S][R])[S][R])=CC([S][R])[S][R],O=C(O*)C(C=C(S*)S*)=CC(S*)S*,dithiolanyl acrylate ester
C=CC=CC(=O)[N](O)[R],C=CC=CC(=O)N(O)*,dienyl hydroxamic acids
C=CC=CC(O)=C1[C](=O)[R][N]([R])C1=O,C=CC=CC(O)=C1C(=O)*N(*)C1=O,hydroxy polyene conjugated diketone nitrogen ring
O=[C]1[R][O]C([O][R])C2OC12,O=C1*OC(O*)C2OC12,bridged oxa-ketone
C=CC=CC=CC=C[C](=O)[R],C=CC=CC=CC=CC(=O)*,polyene carbonyl
[R][N]=C([N]([R])[R])[N]([R])N=CC=N[N]([R])C(=[N][R])[N]([R])[R],*N=C(N(*)*)N(*)N=CC=NN(*)C(=N*)N(*)*,bisguanyl hydrazone
O=[C]([R])C=CC=C([S][R])[S][R],O=C(*)C=CC=C(S*)S*,conjugated ketene dithioacetal
C=C(C(=O)O)[C](=O)[R],C=C(C(=O)O)C(=O)*,"1,1-dicarbonyl alkene"
C=C([C](=O)[R])[N+](=O)[O-],C=C(C(=O)*)[N&+](=O)[O&-],beta nitro enone
O=[C]([R])C(=C[N]([R])[R])C(=S)[N]([R])[R],O=C(*)C(=CN(*)*)C(=S)N(*)*,enaminone thioamide conjugation
O=[C]([R])C=CC(=O)[N]([R])[R],O=C(*)C=CC(=O)N(*)*,beta carbonyl acrylamide
C=N[C](=O)[R],C=NC(=O)*,acyl imine
C=C1SC(=N[C](=O)[R])[N]([R])C1=O,C=C1SC(=NC(=O)*)N(*)C1=O,thiazolidinone imine methylene
O=[C]([R])C1=N[N]([R])C[N]1[R],O=C(*)C1=NN(*)CN1*,1 2 4 triazoline 3 carbonyl
O=C(C(C=[N][R])=N[N]([R])[R])[N]([R])[R],O=C(C(C=N*)=NN(*)*)N(*)*,substituted hydrazone imine amide
C=CC(=C1C=C(Cl)C(=O)C(Cl)=C1)[N]([R])[R],C=CC(=C1C=C(Cl)C(=O)C(Cl)=C1)N(*)*,vinyl enamine chloroquinone
O=[C]([R])C(Cl)=C([C](=O)[R])[N]([R])[C](=O)[R],O=C(*)C(Cl)=C(C(=O)*)N(*)C(=O)*,chloro dioxo amide
O=[C]([R])C([N]([R])[C](=O)[R])[S](=O)(=O)[R],O=C(*)C(N(*)C(=O)*)S(=O)(=O)*,alpha sulfonyl alpha acylamino carboxylic acid
O=[C]([R])[N]([R])N=C[S][R],O=C(*)N(*)N=CS*,sulfanyl imine amide
O=[C]([R])[N]([R])C1SC=NC1O,O=C(*)N(*)C1SC=NC1O,hydroxy dihydrothiazolyl amide
O=[C]([R])N1CN([C](=O)[R])CN([C](=O)[R])C1,O=C(*)N1CN(C(=O)*)CN(C(=O)*)C1,"1,3,5-triazinane tricarbonyl"
O=[C]([R])[N]([R])C[N]([R])C[N]([R])[C](=O)[R],O=C(*)N(*)CN(*)CN(*)C(=O)*,tertiary amine bridged diamide
O=[C]([R])[N]([R])Br,O=C(*)N(*)Br,n-bromo amide
O=[C]([R])C([S][R])[N]([R])[C](=O)[R],O=C(*)C(S*)N(*)C(=O)*,thio ether amine dicarbonyl
O=[C]([R])C=C([S][R])[N]([R])[C](=O)[R],O=C(*)C=C(S*)N(*)C(=O)*,beta enone sulfenamide carbonyl
O=[S](=O)([R])N=[S]([R])[R],O=S(=O)(*)N=S(*)*,sulfonyl sulfilimine
O=[As]([R])([R])[R],O=[#33](*)(*)*,arsenic oxo group
O=[S]([R])C[O][R],O=S(*)CO*,hydroxyalkyl sulfonate sulfinate
[N-]=[N+]=N[C](=O)[R],[N&-]=[N&+]=NC(=O)*,acyl azide
O=[C]([R])ON=CC(=CC(=O)[N]([R])[R])[N]([R])[R],O=C(*)ON=CC(=CC(=O)N(*)*)N(*)*,azole activated ester
C=C(OC[O][R])[C](=O)[R],C=C(OCO*)C(=O)*,vinyl carbonate ester
O=[C]([R])OCOC[O][R],O=C(*)OCOCO*,trioxa ester
C=CC=CO[C](=O)[R],C=CC=COC(=O)*,dienol ester
O=[C]([R])OC=N[O][R],O=C(*)OC=NO*,isoxazole ester
OC1CO1,OC1CO1,hydroxy epoxide
O=[C]([R])OC1CO1,O=C(*)OC1CO1,oxiranyl ester
OCO[N]([R])[R],OCON(*)*,hydroxylamine methylene ethers
O=[C]([R])[O][Mg][Cl],O=C(*)O[#12]Cl,magnesium carboxylate chloride
C=CC=N[S](=O)[R],C=CC=NS(=O)*,conjugated sulfonyl imine
C=[C]([Nar])[C](=O)[R],C=C(n)C(=O)*,heteroaryl enaminone
O=[C]([R])C(=[N][R])[N]([R])[N]([R])[R],O=C(*)C(=N*)N(*)N(*)*,carbonyl hydrazinyl imine
O=[C]([R])[C]([Nar+])=C([S-])[N]([R])[R],O=C(*)C([n&+])=C([S&-])N(*)*,pyridinium thiolate enaminone
O=C([N]([R])[R])P(=O)([O][R])[O][R],O=C(N(*)*)P(=O)(O*)O*,carbamoyl phosphonate
O=[S](=O)([R])N=c1scc[n]1[R],O=S(=O)(*)N=c1sccn1*,sulfonyl imine n-substituted thiazole
O=C1C([N]([R])[R])=CS(=O)(=O)[N]1[R],O=C1C(N(*)*)=CS(=O)(=O)N1*,aminothiazolone dioxide
C=C(F)F,C=C(F)F,gem-difluoroalkene
[R][S][N]([R])[R],*SN(*)*,sulfonate or sulfamate
O=C(O)C=C[N]([R])[C](=O)[R],O=C(O)C=CN(*)C(=O)*,carboxy enaminone
C=CC=N[N]([R])C(=O)C(=C)[N]([R])[C](=O)[R],C=CC=NN(*)C(=O)C(=C)N(*)C(=O)*,vinyl hydrazone diamide
C=C([C](=O)[R])C([O][R])[N]([R])[R],C=C(C(=O)*)C(O*)N(*)*,beta amino alcohol enone
O=[C]([R])C1=COC([N]([R])[R])C=C1,O=C(*)C1=COC(N(*)*)C=C1,2-amino pyran carbonyl
C=COCO[C](=O)[R],C=COCOC(=O)*,vinyloxymethyl ester
O=C1C(=CC=[N+]([R])[R])C([O-])=C1C=C[N]([R])[R],O=C1C(=CC=[N&+](*)*)C([O&-])=C1C=CN(*)*,squaraine
O=C(C=NC(=O)[N]([R])[N]([R])[R])[N]([R])[R],O=C(C=NC(=O)N(*)N(*)*)N(*)*,hydrazone hydrazide amide
[R][N]=CC=C1[N]([R])N=C([S][R])[N]1[R],*N=CC=C1N(*)N=C(S*)N1*,triazoline thioether
O=C([O][R])OCN([C](=O)[R])[C](=O)[R],O=C(O*)OCN(C(=O)*)C(=O)*,diacylaminoalkyl carbamate
O=C([O][R])[N]([R])C(=O)[N]([R])[S](=O)(=O)[R],O=C(O*)N(*)C(=O)N(*)S(=O)(=O)*,sulfonylcarbamoyl carbamate
O=[C]([Nar])C=N[N]([R])[C](=O)[R],O=C(n)C=NN(*)C(=O)*,benzoxazole oxadiazolone
[R][N]([R])[N]([R])C=C([CH]=[Car])[N]=[Car],*N(*)N(*)C=C([C&H1]=c)N=c,heterocyclic hydrazinyl conjugated diene
O=P(OP(=O)([N]([R])[R])[N]([R])[R])([N]([R])[R])[N]([R])[R],O=P(OP(=O)(N(*)*)N(*)*)(N(*)*)N(*)*,trisamino phosphate diaminophosphate
O=[C]([R])[N]([R])C=N[S](=O)(=O)[R],O=C(*)N(*)C=NS(=O)(=O)*,sulfonylamidine amide
O=C(C(=C[N]([R])[R])N=[N][R])[N]([R])[R],O=C(C(=CN(*)*)N=N*)N(*)*,amino diazenyl carbonyl amide
C=CC=NN=CC=C,C=CC=NN=CC=C,conjugated hydrazo diimine
C=CC1OC1[C](=O)[R],C=CC1OC1C(=O)*,vinyl epoxide carbonyl
C1OC1C1CO1,C1OC1C1CO1,diepoxide
O=[C]([R])C(=C([C](=O)[R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(*)C(=C(C(=O)*)N(*)C(=O)*)N(*)*,alpha keto enaminone
O=C(ON([C](=O)[R])C(=O)[N]([R])[R])[N]([R])[R],O=C(ON(C(=O)*)C(=O)N(*)*)N(*)*,diacylamino carbamate
O=S(=O)(C(Cl)=CCl)[N]([R])[R],O=S(=O)(C(Cl)=CCl)N(*)*,dichloroalkenyl sulfonamide
O=C1[N]([R])C(=C[N]([R])[R])[N]([R])[N]1[R],O=C1N(*)C(=CN(*)*)N(*)N1*,5-enamine triazolone
O=[C]1[R][N]([R])C(=O)N1[N]([R])[S](=O)(=O)[R],O=C1*N(*)C(=O)N1N(*)S(=O)(=O)*,hydantoin sulfamoylamino
C=[C]([Nar])C(=O)O,C=C(n)C(=O)O,cinnamic acid derivative
O=[C]([R])N(C[N]([R])[R])C(=O)[N]([R])[R],O=C(*)N(CN(*)*)C(=O)N(*)*,methylene diurea
[R][O]C[N+]([R])([R])[R],*OC[N&+](*)(*)*,beta hydroxy quaternary ammonium
C#CC=N[O][R],C#CC=NO*,alkynylidene hydroxylamine
C#CC#CC#CC#CC#CC#CC#CO[P](=O)([R])[O][R],C#CC#CC#CC#CC#CC#CC#COP(=O)(*)O*,heptayne phosphate
O=C([O][R])OC[S][R],O=C(O*)OCS*,carbonate thioethers
O=[C]1N=C([N]([R])[C](=O)[R])[O][R]1,O=C1N=C(N(*)C(=O)*)O*1,oxazolone carboxamide
C=C1C(=C[O][R])[N]([R])[N]([R])C([N]([R])[R])=C1C#N,C=C1C(=CO*)N(*)N(*)C(N(*)*)=C1C#N,cyano diazole ester
C=CC(=O)C(=C)[C](=O)[R],C=CC(=O)C(=C)C(=O)*,cross-conjugated dienedione
C=CC(=[N][R])[S][R],C=CC(=N*)S*,vinyl thioimidate
[O-][N+]1=CC(C=NO)=NC1,[O&-][N&+]1=CC(C=NO)=NC1,imidazole n-oxide oxime
O=[C]([R])C([N]([R])[R])=[N+]([O-])CO,O=C(*)C(N(*)*)=[N&+]([O&-])CO,zwitterionic nitro enamine
C=CC=C1C(=O)OCOC1=O,C=CC=C1C(=O)OCOC1=O,butadienylidene meldrums acid
O=C1C=C(O)OCO1,O=C1C=C(O)OCO1,"6-hydroxy-1,3-dioxin-4-one"
[O-][N+]([R])=CC=[N+]([O-])[R],[O&-][N&+](*)=CC=[N&+]([O&-])*,diimine dioxide
O=C(O)C=CC=CC=CC=CC=C[C](=O)[R],O=C(O)C=CC=CC=CC=CC=CC(=O)*,conjugated pentaene dicarboxylic acid
O=C(C=CN=C1[S][R][C](=O)[N]1[R])[N]([R])[R],O=C(C=CN=C1S*C(=O)N1*)N(*)*,3-oxo thiazolopyrimidine carboxamide
O=[C]([R])ON=C1C=CC(=O)C(Br)=C1,O=C(*)ON=C1C=CC(=O)C(Br)=C1,bromo quinone imide ester
O=[C]1C=CC(=O)[N]([R])[N]([R])[R]1,O=C1C=CC(=O)N(*)N(*)*1,dihydro pyridazine dione
C#CC1=CC(=C)[N+]([B-](F)(F)[Nar])=C1,C#CC1=CC(=C)[N&+]([B&-](F)(F)n)=C1,alkynyl boron difluoride aza ring
C=C(Cl)[N]([R])C([N]([R])[R])[N]([R])[R],C=C(Cl)N(*)C(N(*)*)N(*)*,chlorovinyl tertiary amine with geminal diamino
C=C([N]([R])[R])[N]([R])C(Cl)[N]([R])[R],C=C(N(*)*)N(*)C(Cl)N(*)*,chloroalkyl substituted enamino tertiary amine
O=C(C=C[N]([R])C=CP(=O)([O][R])[O][R])[O][R],O=C(C=CN(*)C=CP(=O)(O*)O*)O*,phosphono enamine ester
C=CN=c1nc([N]([R])[R])[n]([R])[n]1[R],C=CN=c1nc(N(*)*)n(*)n1*,vinylamino triazolopyrimidine
C=CC(C=C)=NO,C=CC(C=C)=NO,vinyl nitroso compounds
[R][NH][CH]=[Car],*[N&H1][C&H1]=c,pyrrole
C=CC(=O)[CH]=[Car],C=CC(=O)[C&H1]=c,"1,1-disubstituted vinyl furan"
O=[C]([R])C([C](=O)[R])=C1C=C[N]([R])C=C1,O=C(*)C(C(=O)*)=C1C=CN(*)C=C1,"heteroarylidene 1,3-dione"
C=CC=CC=S,C=CC=CC=S,conjugated thiocarbonyl
O=C1C=CC(=NO)C=C1,O=C1C=CC(=NO)C=C1,oxyiminoquinone
C=CN(O)C[N]([R])[R],C=CN(O)CN(*)*,vinyl n-oxide methylene tertiary amine
C=CSCN=C[N]([R])[C](=O)[R],C=CSCN=CN(*)C(=O)*,vinyl sulfide imino amide
OC(N=C([N]=[Car])[N]=[Car])=C1N=C[N]([R])[N]1[R],OC(N=C(N=c)N=c)=C1N=CN(*)N1*,diaryl amidine triazolyl enone
ON=CC=[N][R],ON=CC=N*,hydroxyimino imine
